combo
1211
1121
1131
1112
1222
1132
1113
1123
1233
1214
1224
1134
1215
1125
1235
1116
1226
1236
2211
2121
2231
2212
2222
2132
2113
2223
2233
2114
2124
2234
2115
2225
2135
2216
2126
2136
