50k mean,200k mean,50k var,200k var,kernel_size,epochs_choice,learning_rate,activation_fn,Name
0.1413663593911876,0.11647892788027721,7.365441805074068e-05,8.357994631546434e-06,3,30,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_30_0.0001_4
0.14065417381525033,0.12341626564649244,7.147449041654483e-06,2.7776331993391298e-05,3,30,1e-05,ReLU,3DCNN_50000_3_ReLU_30_1e-05_4
0.15736539145496983,0.12895673058864968,8.204236465427227e-06,4.9865725124871326e-05,3,30,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_30_1e-05_4
0.13592301840186116,0.11325203453116113,2.869973471185041e-05,1.0508399392811407e-05,5,5,0.001,ReLU,3DCNN_50000_5_ReLU_5_0.001_4
0.14777320703739916,0.1247689333523313,9.803032825394319e-05,1.3205256600298103e-05,5,5,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_5_0.001_4
0.1331565967291593,0.11462842301912603,2.593129211188987e-05,2.2788688123528484e-05,5,5,0.0001,ReLU,3DCNN_50000_5_ReLU_5_0.0001_4
0.16104172717270746,0.13670969566833227,0.00019148737902367188,0.0002225719827346572,5,5,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_5_0.0001_4
0.14847035951043164,0.1289206432377298,7.958416919508849e-06,1.3048344232105409e-05,5,5,1e-05,ReLU,3DCNN_50000_5_ReLU_5_1e-05_4
0.23451281856894488,0.14975855791841944,0.00017169504029442454,1.005340621004698e-05,5,5,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_5_1e-05_4
0.1343048246591041,0.10494502565463376,2.621639146135831e-05,9.432866748054887e-06,5,10,0.001,ReLU,3DCNN_50000_5_ReLU_10_0.001_4
0.13865777102199692,0.1160732462838292,1.2043440432344288e-05,2.1266628409108227e-05,5,10,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_10_0.001_4
0.12294311189875003,0.1051297191570202,4.543113047397479e-06,1.1464569970679898e-06,5,10,0.0001,ReLU,3DCNN_50000_5_ReLU_10_0.0001_4
0.1426876279952625,0.12085186968892807,3.621193513149551e-05,6.076332659485181e-06,5,10,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_10_0.0001_4
