"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_200000_5_ReLU_30_0.001_4","0.08373050188479945","0.09127334970459342","finished","-","changli_824","","2024-04-16T00:01:35.000Z","38177","","ReLU","3DCNN_64_stride1","4","30","","5","0.001","","","","","85647","","200000","","","0.02316644787788391","","29","0.7020059033586528","","1196","28","","","","3.92007827758789","1.2390613555908203","6.969344296455383","7.105588912963867","3.8657749097426906","","","1.2572072117204167"
"3DCNN_200000_3_ReLU_20_0.001_4","0.106656646495983","0.11335669275969266","finished","-","changli_824","","2024-04-15T23:53:53.000Z","23270","","ReLU","3DCNN_64_stride1","4","20","","3","0.001","","","","","18811","","200000","","","0.06248326972126961","","19","0.6233996702384678","","1128","26","","","","4.003763198852539","1.1913776397705078","7.988370823860169","8.638381958007812","3.6159884002023186","","","1.0907806067102883"
"3DCNN_200000_5_Sigmoid_30_1e-05_4","0.11269928343895824","0.11396067041531203","finished","-","changli_824","","2024-04-15T23:23:07.000Z","36848","","Sigmoid","3DCNN_64_stride1","4","30","","5","0.00001","","","","","85647","","200000","","","0.05638665705919266","","29","0.6114310687250903","","1160","27","","","","3.264188766479492","1.0018348693847656","6.99568320274353","6.590127944946289","3.4330059752795283","","","1.014632680808684"
"3DCNN_200000_5_ReLU_15_1e-05_4","0.10814384789085948","0.1142533649943769","finished","-","changli_824","","2024-04-15T22:41:01.000Z","19721","","ReLU","3DCNN_64_stride1","4","15","","5","0.00001","","","","","85647","","200000","","","0.06462281942367554","","14","0.6378825904924265","","1268","30","","","","4.140615463256836","1.1212825775146484","8.029269361495972","6.007194519042969","4.049697564253451","","","1.3170706699172177"
"3DCNN_200000_5_Sigmoid_30_0.0001_4","0.10360974736864678","0.10595291774868965","finished","-","changli_824","","2024-04-15T22:32:06.000Z","37410","","Sigmoid","3DCNN_64_stride1","4","30","","5","0.0001","","","","","85647","","200000","","","0.05645096302032471","","29","0.6261536425035263","","1158","27","","","","3.168344497680664","1.0204315185546875","6.929079461097718","7.048130035400391","3.4068852192069277","","","1.015419845121453"
"3DCNN_200000_5_ReLU_20_0.001_4","0.08854386430356186","0.09640534212328494","finished","-","changli_824","","2024-04-15T22:27:00.000Z","25370","","ReLU","3DCNN_64_stride1","4","20","","5","0.001","","","","","85647","","200000","","","0.24039143323898315","","19","0.6995368390167747","","1240","30","","","","3.4716129302978516","1.0008811950683594","8.116994667053222","8.16655158996582","3.667630207827149","","","1.110413945822352"
"3DCNN_200000_3_Sigmoid_5_0.001_4","0.1288229341670312","0.12937437177076935","finished","-","changli_824","","2024-04-15T22:19:01.000Z","6032","","Sigmoid","3DCNN_64_stride1","4","5","","3","0.001","","","","","18811","","200000","","","0.27543047070503235","","4","0.5178181432838745","","1175","28","","","","3.8208961486816406","1.3589859008789062","8.194361376762389","8.706808090209961","4.14652450963673","","","1.404197340509499"
"3DCNN_200000_5_ReLU_20_0.0001_4","0.0910606752130948","0.10009594285823405","finished","-","changli_824","","2024-04-15T22:18:15.000Z","24145","","ReLU","3DCNN_64_stride1","4","20","","5","0.0001","","","","","85647","","200000","","","0.022270437330007553","","19","0.6770251678360593","","1158","27","","","","3.1261444091796875","0.9870529174804688","7.1622509145736695","8.321523666381836","3.521970620892672","","","1.0175196521253471"
"3DCNN_200000_3_ReLU_10_0.001_4","0.11353636640992017","0.11248351595029236","finished","-","changli_824","","2024-04-15T22:07:19.000Z","11549","","ReLU","3DCNN_64_stride1","4","10","","3","0.001","","","","","18811","","200000","","","0.16928601264953613","","9","0.6229707429429088","","1118","25","","","","3.461599349975586","1.004934310913086","7.850003457069397","7.575273513793945","3.5766428579066036","","","1.0690193099669183"
"3DCNN_200000_3_ReLU_25_0.0001_4","0.10912635037047788","0.12702231931611896","finished","-","changli_824","","2024-04-15T21:47:08.000Z","29179","","ReLU","3DCNN_64_stride1","4","25","","3","0.0001","","","","","18811","","200000","","","0.08710930496454239","","24","0.6012810061487639","","1133","26","","","","3.975868225097656","1.0523796081542969","7.881212439537047","7.221698760986328","3.6600770652711474","","","1.1207732809595314"
"3DCNN_200000_5_ReLU_30_0.0001_4","0.08861057526285761","0.09761405482813716","finished","-","changli_824","","2024-04-15T21:47:05.000Z","38274","","ReLU","3DCNN_64_stride1","4","30","","5","0.0001","","","","","85647","","200000","","","0.027474872767925262","","29","0.69018780577657","","1214","29","","","","3.978967666625977","1.0416507720947266","7.483381433486938","6.726503372192383","3.5409058349374343","","","1.0572791578300509"
"3DCNN_200000_5_Sigmoid_5_0.001_4","0.12858257027981804","0.1227267160974443","finished","-","changli_824","","2024-04-15T21:34:53.000Z","6396","","Sigmoid","3DCNN_64_stride1","4","5","","5","0.001","","","","","85647","","200000","","","0.21676644682884216","","4","0.5627715156055849","","1233","29","","","","3.394126892089844","1.140594482421875","7.972912621498109","7.152080535888672","3.5962542621439324","","","1.1034537510699538"
"3DCNN_200000_5_Sigmoid_5_0.0001_4","0.13150617772946135","0.1287028625458479","finished","-","changli_824","","2024-04-15T21:32:50.000Z","6467","","Sigmoid","3DCNN_64_stride1","4","5","","5","0.0001","","","","","85647","","200000","","","0.05414968729019165","","4","0.5389616935761112","","1254","29","","","","3.7221908569335938","1.357316970825195","8.131101651191711","7.577180862426758","3.937984175814655","","","1.2892209861173207"
"3DCNN_200000_5_Sigmoid_15_1e-05_4","0.1267122193780355","0.1257904658779502","finished","-","changli_824","","2024-04-15T21:28:23.000Z","19869","","Sigmoid","3DCNN_64_stride1","4","15","","5","0.00001","","","","","85647","","200000","","","0.11531855165958405","","14","0.5498063067467556","","1288","30","","","","4.074811935424805","1.085519790649414","7.907018437385559","7.662773132324219","3.5792201059917184","","","1.1387629681322948"
"3DCNN_200000_3_ReLU_15_1e-05_4","0.1272763026636932","0.1284558803278953","finished","-","changli_824","","2024-04-15T20:51:39.000Z","18403","","ReLU","3DCNN_64_stride1","4","15","","3","0.00001","","","","","18811","","200000","","","0.10735861957073212","","14","0.5637625251286503","","1191","28","","","","4.78053092956543","1.560211181640625","8.396197271347047","9.582996368408203","4.0488196268251455","","","1.3270060221354167"
"3DCNN_200000_5_Sigmoid_5_1e-05_4","0.1527163772690855","0.1461364797860384","finished","-","changli_824","","2024-04-15T20:50:09.000Z","6635","","Sigmoid","3DCNN_64_stride1","4","5","","5","0.00001","","","","","85647","","200000","","","0.07099828869104385","","4","0.47106769899647705","","1286","34","","","","4.042625427246094","1.024484634399414","8.324124960899354","11.909008026123049","4.010616137662347","","","1.3682612453598575"
"3DCNN_200000_5_Sigmoid_20_0.0001_4","0.10800300683599896","0.10809054655656218","finished","-","changli_824","","2024-04-15T20:49:36.000Z","25684","","Sigmoid","3DCNN_64_stride1","4","20","","5","0.0001","","","","","85647","","200000","","","0.08413861691951752","","19","0.6128869390038139","","1245","31","","","","3.78108024597168","1.045942306518555","8.084768915176392","7.753610610961914","3.6375058415079624","","","1.1741191029069893"
"3DCNN_200000_5_ReLU_5_0.001_4","0.11488425287723542","0.11659326247945428","finished","-","changli_824","","2024-04-15T20:44:05.000Z","6369","","ReLU","3DCNN_64_stride1","4","5","","5","0.001","","","","","85647","","200000","","","0.3892698884010315","","4","0.6354028852397597","","1241","29","","","","3.4170150756835938","1.22833251953125","8.20208037853241","7.358789443969727","3.734078724924673","","","1.175633683262101"
"3DCNN_200000_3_ReLU_5_0.001_4","0.12170743557151407","0.11682954332455991","finished","-","changli_824","","2024-04-15T20:37:35.000Z","6038","","ReLU","3DCNN_64_stride1","4","5","","3","0.001","","","","","18811","","200000","","","0.10330267995595932","","4","0.6112247509196321","","1189","26","","","","3.439903259277344","1.2221336364746094","8.319751739501953","6.615400314331055","4.276584105196894","","","1.2049148360409412"
"3DCNN_200000_3_Sigmoid_20_0.001_4","0.11047693396892398","0.112592551548779","finished","-","changli_824","","2024-04-15T20:31:37.000Z","23384","","Sigmoid","3DCNN_64_stride1","4","20","","3","0.001","","","","","18811","","200000","","","0.08049627393484116","","19","0.6188703047749404","","1151","26","","","","3.5762786865234375","1.1796951293945312","7.901743350028991","8.153915405273438","3.612855883402022","","","1.096320918286182"
"3DCNN_200000_3_Sigmoid_30_1e-05_4","0.1260728381758649","0.12478302509821952","finished","-","changli_824","","2024-04-15T20:25:08.000Z","34839","","Sigmoid","3DCNN_64_stride1","4","30","","3","0.00001","","","","","18811","","200000","","","0.11851761490106584","","29","0.5556127752712676","","1117","25","","","","3.4372806549072266","1.216411590576172","7.917750053405762","7.380485534667969","3.6669180569207103","","","1.1226043164969448"
"3DCNN_200000_5_Sigmoid_30_0.001_4","0.09585692525642923","0.09853716793842614","finished","-","changli_824","","2024-04-15T20:19:03.000Z","38250","","Sigmoid","3DCNN_64_stride1","4","30","","5","0.001","","","","","85647","","200000","","","0.14974156022071838","","29","0.6716553698800076","","1210","28","","","","3.908395767211914","0.9431838989257812","7.377071981430054","6.049394607543945","3.783481067169854","","","1.0788157283062916"
"3DCNN_200000_3_Sigmoid_25_0.0001_4","0.1140727160038706","0.11789960789866744","finished","-","changli_824","","2024-04-15T20:14:56.000Z","28894","","Sigmoid","3DCNN_64_stride1","4","25","","3","0.0001","","","","","18811","","200000","","","0.05597434192895889","","24","0.5618788592722099","","1117","25","","","","3.813505172729492","0.9639263153076172","7.874455757141113","7.879257202148437","3.6591437845903534","","","1.0991903672735377"
"3DCNN_200000_3_ReLU_30_0.0001_4","0.1041845736491494","0.10693344357833266","finished","-","changli_824","","2024-04-15T19:59:56.000Z","34517","","ReLU","3DCNN_64_stride1","4","30","","3","0.0001","","","","","18811","","200000","","","0.08588618785142899","","29","0.6462528398293585","","1120","25","","","","3.2579898834228516","1.0111331939697266","7.709754204750061","6.961345672607422","3.503160506254388","","","1.0178908765555386"
"3DCNN_200000_5_ReLU_25_0.0001_4","0.08693180598493666","0.09547488184012472","finished","-","changli_824","","2024-04-15T19:58:59.000Z","31117","","ReLU","3DCNN_64_stride1","4","25","","5","0.0001","","","","","85647","","200000","","","0.1084795743227005","","24","0.6834525548448667","","1183","27","","","","3.3102035522460938","1.1582374572753906","7.288440294265747","7.281780242919922","3.557094389687874","","","1.0721869258038013"
"3DCNN_200000_5_ReLU_5_1e-05_4","0.12712525653263554","0.1279078918322921","finished","-","changli_824","","2024-04-15T19:36:37.000Z","6660","","ReLU","3DCNN_64_stride1","4","5","","5","0.00001","","","","","85647","","200000","","","0.07028195261955261","","4","0.5784876679323787","","1294","31","","","","3.6568641662597656","0.9741783142089844","7.901231532096863","9.86790657043457","3.605533080187815","","","1.111730993033413"
"3DCNN_200000_3_Sigmoid_30_0.0001_4","0.11156959407405928","0.1167818594764918","finished","-","changli_824","","2024-04-15T19:22:23.000Z","34587","","Sigmoid","3DCNN_64_stride1","4","30","","3","0.0001","","","","","18811","","200000","","","0.21160396933555603","","29","0.5959891488918246","","1117","25","","","","3.5037994384765625","1.2958049774169922","7.757273054122925","6.370067596435547","3.628706884374617","","","1.1242558199717816"
"3DCNN_200000_5_ReLU_20_1e-05_4","0.1088533025552705","0.11201691592745484","finished","-","changli_824","","2024-04-15T19:11:10.000Z","25365","","ReLU","3DCNN_64_stride1","4","20","","5","0.00001","","","","","85647","","200000","","","0.03414987772703171","","19","0.6249840078954221","","1224","29","","","","3.3540725708007812","1.1494159698486328","7.642369661331177","6.939172744750977","3.586861180600988","","","1.089252812795371"
"3DCNN_200000_3_Sigmoid_15_0.0001_4","0.11896776690348052","0.11965188908055424","finished","-","changli_824","","2024-04-15T18:59:53.000Z","17523","","Sigmoid","3DCNN_64_stride1","4","15","","3","0.0001","","","","","18811","","200000","","","0.29683345556259155","","14","0.5841782773221798","","1142","25","","","","3.334522247314453","1.196146011352539","8.283508443832398","8.780956268310547","3.5648761403205325","","","1.0797407732431188"
"3DCNN_200000_5_ReLU_5_0.0001_4","0.11161487181180156","0.1195778363995254","finished","-","changli_824","","2024-04-15T17:32:18.000Z","6527","","ReLU","3DCNN_64_stride1","4","5","","5","0.0001","","","","","85647","","200000","","","0.03355199098587036","","4","0.6226326112322116","","1230","29","","","","3.478527069091797","1.3134479522705078","7.704543271064758","6.472587585449219","3.590948153887064","","","1.1244981643186516"
"3DCNN_200000_3_Sigmoid_15_1e-05_4","0.14142538431832566","0.14095449649840594","finished","-","changli_824","","2024-04-15T17:26:58.000Z","17372","","Sigmoid","3DCNN_64_stride1","4","15","","3","0.00001","","","","","18811","","200000","","","0.2118779867887497","","14","0.45825078029274424","","1135","25","","","","3.6013126373291016","1.116037368774414","8.098211703300477","7.031679153442383","3.6692124124669294","","","1.1383538265304871"
"3DCNN_200000_3_ReLU_10_1e-05_4","0.13984311793258414","0.14290382601842283","finished","-","changli_824","","2024-04-15T16:58:02.000Z","11972","","ReLU","3DCNN_64_stride1","4","10","","3","0.00001","","","","","18811","","200000","","","0.12706804275512695","","9","0.5307594655954597","","1160","26","","","","3.1669139862060547","1.0330677032470703","8.194806919097902","7.610559463500977","4.037534053098156","","","1.2522998105091263"
"3DCNN_200000_5_ReLU_10_1e-05_4","0.1147632368452847","0.11737177699916064","finished","-","changli_824","","2024-04-15T16:58:02.000Z","12783","","ReLU","3DCNN_64_stride1","4","10","","5","0.00001","","","","","85647","","200000","","","0.171895831823349","","9","0.6111506575544156","","1215","29","","","","4.199981689453125","1.2149810791015625","7.772913389205932","10.779142379760742","3.6493531082315096","","","1.068797551963224"
"3DCNN_200000_3_Sigmoid_10_1e-05_4","0.15273766587199644","0.1574138935469091","finished","-","changli_824","","2024-04-15T16:43:38.000Z","11697","","Sigmoid","3DCNN_64_stride1","4","10","","3","0.00001","","","","","18811","","200000","","","0.15954738855361938","","9","0.46019238585122224","","1135","26","","","","3.209352493286133","1.045942306518555","8.009974117279052","7.113456726074219","3.5283318470182072","","","1.2561388283848285"
"3DCNN_200000_3_Sigmoid_30_0.001_4","0.1070623508160375","0.11276914378888904","finished","-","changli_824","","2024-04-15T16:24:37.000Z","35830","","Sigmoid","3DCNN_64_stride1","4","30","","3","0.001","","","","","18811","","200000","","","0.18897676467895508","","29","0.6396355618067314","","1144","25","","","","3.0660629272460938","0.9756088256835938","7.6230645799636845","15.91634750366211","3.891173833178195","","","1.0674670996914906"
"3DCNN_200000_5_ReLU_15_0.0001_4","0.09744306039305405","0.10742357055544852","finished","-","changli_824","","2024-04-15T16:08:12.000Z","19381","","ReLU","3DCNN_64_stride1","4","15","","5","0.0001","","","","","85647","","200000","","","0.03945073485374451","","14","0.6640762264559315","","1252","30","","","","3.965616226196289","1.356363296508789","8.102974324226379","6.53076171875","3.842758002055123","","","1.2431665596713024"
"3DCNN_200000_3_ReLU_20_1e-05_4","0.12741256364187226","0.1314355333581567","finished","-","changli_824","","2024-04-15T15:55:34.000Z","23467","","ReLU","3DCNN_64_stride1","4","20","","3","0.00001","","","","","18811","","200000","","","0.35010188817977905","","19","0.544855902603641","","1146","26","","","","4.114866256713867","1.1522769927978516","8.188910727500916","9.643077850341797","3.681051523643962","","","1.1179167582806813"
"3DCNN_200000_5_ReLU_10_0.0001_4","0.10034074666521511","0.1052409757964313","finished","-","changli_824","","2024-04-15T15:54:36.000Z","13299","","ReLU","3DCNN_64_stride1","4","10","","5","0.0001","","","","","85647","","200000","","","0.06817285716533661","","9","0.658606330263541","","1274","30","","","","3.240346908569336","1.1684894561767578","7.86615044593811","6.826162338256836","3.640365495660778","","","1.1171761286785329"
"3DCNN_200000_3_Sigmoid_15_0.001_4","0.11573838174873964","0.11343408583141865","finished","-","changli_824","","2024-04-15T15:50:57.000Z","17821","","Sigmoid","3DCNN_64_stride1","4","15","","3","0.001","","","","","18811","","200000","","","0.2553173899650574","","14","0.6043819002554958","","1152","26","","","","3.2889842987060547","1.004934310913086","8.282416162490845","7.88116455078125","3.654063732821027","","","1.1371466050665064"
"3DCNN_200000_3_ReLU_15_0.0001_4","0.1131127986499481","0.1164693445764482","finished","-","changli_824","","2024-04-15T15:42:52.000Z","18410","","ReLU","3DCNN_64_stride1","4","15","","3","0.0001","","","","","18811","","200000","","","0.07344505190849304","","14","0.5991891322009336","","1187","27","","","","3.717184066772461","1.4214515686035156","8.327922644615173","7.318973541259766","4.095607639479861","","","1.2069918544416924"
"3DCNN_200000_3_Sigmoid_20_1e-05_4","0.13575815068865196","0.13352795105613768","finished","-","changli_824","","2024-04-15T15:40:12.000Z","23205","","Sigmoid","3DCNN_64_stride1","4","20","","3","0.00001","","","","","18811","","200000","","","0.06404997408390045","","19","0.4984961378813631","","1135","26","","","","3.152608871459961","1.1072158813476562","8.09047884941101","7.123470306396484","3.5674972185065066","","","1.071885694940406"
"3DCNN_200000_5_ReLU_15_0.001_4","0.09304030658065342","0.09815024897493424","finished","-","changli_824","","2024-04-15T15:24:34.000Z","19141","","ReLU","3DCNN_64_stride1","4","15","","5","0.001","","","","","85647","","200000","","","0.12229093909263612","","14","0.6857501282555872","","1230","29","","","","11.14344596862793","1.2042522430419922","8.133473181724549","8.327245712280273","3.674968954896326","","","1.1854508794455163"
"3DCNN_200000_3_ReLU_5_0.0001_4","0.12654052050041034","0.12667211934626102","finished","-","changli_824","","2024-04-15T14:28:12.000Z","5981","","ReLU","3DCNN_64_stride1","4","5","","3","0.0001","","","","","18811","","200000","","","0.2115127295255661","","4","0.5766903480954707","","1172","28","","","","4.068613052368164","1.2407302856445312","8.32526937007904","8.393049240112305","4.008601565054833","","","1.3090389320649296"
