combo
1213
2226
2215
1221
2133
1115
2134
2235
1223
1231
2111
1135
1133
1126
1136
2125
2122
2213
2236
2221
2123
2224
1232
2131
1212
1122
1225
1234
1111
1124
1114
1216
2214
2112
2116
2232
