"Name","train_loss","validation_loss","State","Notes","User","Tags","Created","Runtime","Sweep","activation_fn","architecture","batch_size","epochs_choice","input_dim","kernel_size","learning_rate","loss","nblocks","nneighbor","num_class","num_parameters","num_point","training_set","transformer_dim","avg_loss_per_batch","batch loss","cumulative_loss","epoch","r2","time","train_time","validate_time","evaluation time","inference time","inference_time_train","inference_time_train_ms","inference_time_validation_ms","load_time_batch_ms","load_time_train_ms","train_time_batch_ms","validate loss","validate time","validate_time_batch_ms"
"3DCNN_50000_3_ReLU_15_1e-05_4","0.1022281949107349","0.12124136415794493","finished","-","changli_824","","2024-04-19T02:42:10.000Z","172092","","ReLU","3DCNN_256_stride1_new","4","15","","3","0.00001","","","","","1008363","","50000","","","0.17888230085372925","","14","0.6190111724767473","","10755","694","","","","4.277467727661133","1.238107681274414","195.5417993927002","169.12364959716797","5.143957561831936","","","1.2570968114707364"
"3DCNN_50000_3_ReLU_5_0.0001_4","0.11840281537927688","0.12203304542526602","finished","-","changli_824","","2024-04-19T23:30:46.000Z","66511","","ReLU","3DCNN_256_stride1_new","4","5","","3","0.0001","","","","","1008363","","50000","","","0.09789438545703888","","4","0.6370852887315561","","12184","1004","","","","3.9319992065429688","1.1394023895263672","318.4454393196106","301.3944625854492","4.716458141183357","","","1.8607482373953823"
"3DCNN_50000_5_ReLU_10_0.001_4","0.10938634464949368","0.1261872285336256","finished","-","changli_824","","2024-04-19T02:42:10.000Z","135045","","ReLU","3DCNN_256_stride1_new","4","10","","5","0.001","","","","","4650239","","50000","","","0.09005571156740189","","9","0.6101665289508061","","12575","892","","","","3.961801528930664","1.2388229370117188","199.4932057571411","276.7179012298584","4.839969082199354","","","1.250580324226594"
"3DCNN_50000_3_Sigmoid_15_0.001_4","0.11378920472688972","0.12622726598270237","finished","-","changli_824","","2024-04-19T02:42:10.000Z","191485","","Sigmoid","3DCNN_256_stride1_new","4","15","","3","0.001","","","","","1008363","","50000","","","0.1077151969075203","","14","0.5528632008776242","","11248","875","","","","3.863096237182617","1.1987686157226562","255.09970193862912","217.6613807678223","4.74843913980061","","","1.227239911336018"
"3DCNN_50000_5_Sigmoid_10_0.0001_4","0.12427862198404968","0.12661261750869454","finished","-","changli_824","","2024-04-19T02:42:41.000Z","134644","","Sigmoid","3DCNN_256_stride1_new","4","10","","5","0.0001","","","","","4650239","","50000","","","0.17094498872756958","","9","0.5950742293169404","","13086","936","","","","3.6361217498779297","1.1725425720214844","246.37734169006347","241.61577224731445","5.489349288879346","","","1.1928112152589851"
"3DCNN_50000_3_ReLU_10_1e-05_4","0.11786176166333258","0.12684275188595057","finished","-","changli_824","","2024-04-19T02:42:43.000Z","114433","","ReLU","3DCNN_256_stride1_new","4","10","","3","0.00001","","","","","1008363","","50000","","","0.05749179422855377","","9","0.5893148882142285","","10557","684","","","","4.093170166015625","1.1861324310302734","196.50556640625","184.02957916259768","4.704310857743812","","","1.250875714313553"
"3DCNN_10000_5_ReLU_15_0.0001_4","0.09414910365715624","0.12794278900884093","finished","-","changli_824","","2024-04-18T07:48:52.000Z","51065","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.0001","","","","","4650239","","10000","","","0.06622657179832458","","14","0.5926336681874718","","2842","1212","","","","3.740072250366211","1.224517822265625","340.52167186737057","366.81628227233887","4.275770934231311","","","2.356114732213767"
"3DCNN_50000_5_Sigmoid_15_0.0001_4","0.1148183241071552","0.12839577900394797","finished","-","changli_824","","2024-04-19T02:42:10.000Z","204617","","Sigmoid","3DCNN_256_stride1_new","4","15","","5","0.0001","","","","","4650239","","50000","","","0.2664583623409271","","14","0.5615541974807616","","13159","948","","","","3.746271133422851","1.1584758758544922","246.2565704727173","236.6702556610107","5.2209714014497735","","","1.523708626927142"
"3DCNN_10000_5_ReLU_15_0.001_4","0.11716847663782536","0.1300361421912909","finished","-","changli_824","","2024-04-18T07:48:52.000Z","48987","","ReLU","3DCNN_256_stride1_new","4","15","","5","0.001","","","","","4650239","","10000","","","0.08750023692846298","","14","0.6038832352347606","","2507","808","","","","3.74150276184082","1.2125968933105469","204.86516857147217","242.159366607666","4.165342438173103","","","1.2157784887107022"
"3DCNN_10000_3_ReLU_15_0.0001_4","0.1068150667451322","0.13119860616251827","finished","-","changli_824","","2024-04-18T07:48:52.000Z","42118","","ReLU","3DCNN_256_stride1_new","4","15","","3","0.0001","","","","","1008363","","10000","","","0.2532562017440796","","14","0.5936476144897004","","2100","689","","","","4.113674163818359","1.4216899871826172","174.89408988952638","206.35056495666504","4.879691801875471","","","2.1722042895703906"
